node,x,y,z,x_2d,y_2d
SNX1,1.1389819383621216,-0.4729081988334656,2.5110116004943848,3.962265968322754,-3.1326117515563965
MAPRE3,0.8063505291938782,-0.323852390050888,1.968194365501404,4.500856876373291,-2.17740535736084
MYH15,1.6966238021850586,-0.0313497856259346,2.1126320362091064,5.339476585388184,-4.329135894775391
TALDO1,1.2120822668075562,0.2142647504806518,2.402084350585937,4.284623146057129,-4.372847557067871
ANO10,0.7520426511764526,0.0751232504844665,2.601959228515625,4.056323528289795,-4.48909854888916
GCN1,1.261871337890625,1.1777441501617432,1.662046194076538,8.335613250732422,-3.3101649284362793
OAT,1.0719105005264282,-0.0220407005399465,1.9296365976333616,4.980270862579346,-2.594742774963379
ZAP70,6.12982988357544,7.867857456207275,2.8692586421966557,21.3502197265625,7.170905590057373
XRN1,1.05205500125885,0.3011533319950104,1.7182705402374268,6.403662204742432,-2.284229278564453
PTPN23,1.350433588027954,-0.2200770378112793,1.9997175931930544,4.920220375061035,-3.242342472076416
ALDOA,1.0455416440963743,1.0813307762145996,-0.431194394826889,10.534327507019043,0.8534486889839172
GPD2,1.5164347887039185,0.5915708541870117,2.5320792198181152,5.923319339752197,-6.009659290313721
UBR7,1.3081201314926147,0.0111323064193129,1.9432910680770876,5.172848224639893,-3.1979334354400635
PIGK,1.3205318450927734,0.554254949092865,2.797168970108032,4.583273410797119,-6.105442523956299
MAGEA11,1.7592360973358154,-0.0474388785660266,2.026494026184082,5.484601974487305,-4.158857345581055
SPRYD7,1.1690027713775637,2.5175886154174805,1.6550028324127195,15.500382423400879,-2.4319052696228027
CTPS2,1.3107481002807615,0.6640629768371582,3.013559103012085,5.399064064025879,-6.434622287750244
INO80C,2.0180532932281494,0.9530709981918336,2.094759464263916,7.476489543914795,-5.682718753814697
ORC4,1.0168428421020508,-0.1725132167339325,1.0377873182296753,6.301209449768066,-1.0559791326522827
GLUD1,0.8609638214111328,0.619886040687561,2.1649394035339355,6.000061988830566,-3.577979564666748
TERT,1.0058708190917969,1.440093994140625,0.6365157961845398,12.203655242919922,0.9579447507858276
DBR1,1.0775833129882812,0.4222238659858703,2.09749698638916,5.807082176208496,-3.834707736968994
DDRGK1,0.6521845459938049,0.5778337121009827,1.9288947582244875,5.799598693847656,-2.6656017303466797
CCNYL1,1.1869162321090698,0.5130733847618103,1.9708560705184937,6.583643913269043,-3.5441536903381348
ELL2,2.01616644859314,-0.3083748519420624,-1.0842031240463257,4.479402542114258,1.020275354385376
LMNB1,0.9145567417144777,0.5653237700462341,2.680257558822632,4.802582740783691,-4.967833995819092
H2BC3,1.065932273864746,0.0074876178987324,0.862673819065094,7.4326701164245605,-0.5048410892486572
EXOSC7,1.187308430671692,0.3891898393630981,1.4561320543289185,6.997297286987305,-2.1011135578155518
HLA-DOB,1.634424924850464,0.3215494751930237,1.406256914138794,7.72517728805542,-3.725419521331787
SMC6,1.6038748025894165,0.0435818247497081,2.199784278869629,5.284034729003906,-4.468957901000977
DIP2B,1.2149752378463743,3.921393394470215,1.3129749298095703,19.012636184692383,-0.4155288338661194
FPGS,1.453785061836243,0.3466822803020477,1.9932478666305544,6.388888835906982,-4.063394069671631
RNPEP,0.9194660186767578,0.3724799454212188,1.553504228591919,6.6378960609436035,-1.9018911123275757
USP27X,0.9178325533866882,0.4551156759262085,2.2747914791107178,5.279916763305664,-3.890737533569336
KARS1,1.053357720375061,0.0167400483042001,1.2187340259552002,6.706780433654785,-1.1911855936050415
